team,c1,c2
AZ,#A71930,#E3D4AD
ATL,#13274F,#CE1141
CHC,#0E3386,#CC3433
CIN,#C6011F,#000000
COL,#333366,#C4CED4
LAD,#005A9C,#FFFFFF
MIA,#00A3E0,#EF3340
MIL,#12284B,#FFC52F
NYM,#002D72,#FF5910
PIT,#FDB827,#000000
PHI,#BA0C2F,#003087
SD,#2F241D,#FFC425
SF,#C41E3A,#000066
STL,#C41E3A,#0C2340
WSH,#AB0003,#11225B

BAL,#DF4601,#000000
BOS,#BD3039,#0C2340
CWS,#27251F,#C4CED4
CLE,#00385D,#E50022
DET,#0C2C56,#FA4616
HOU,#002D62,#EB6E1F
KC,#004687,#BD9B60
MIN,#042462,#D31145
NYY,#132448,#CCCCCC
LAA,#BA0021,#003263
OAK,#003831,#EFB21E
SEA,#002B5C,#006C67
TB,#092C5C,#8FBCE6
TEX,#003278,#C0111F
TOR,#134A8E,#1D2D5C